Brand,Country,Year,Monthly_Production_Tonnes,Avg_Item_Price_USD,Release_Cycles_Per_Year,Carbon_Emissions_tCO2e,Water_Usage_Million_Litres,Landfill_Waste_Tonnes,Avg_Worker_Wage_USD,Working_Hours_Per_Week,Child_Labor_Incidents,Return_Rate_Percent,Avg_Spend_Per_Customer_USD,Shopping_Frequency_Per_Year,Instagram_Mentions_Thousands,TikTok_Mentions_Thousands,Sentiment_Score,Social_Sentiment_Label,GDP_Contribution_Million_USD,Env_Cost_Index,Sustainability_Score,Transparency_Index,Compliance_Score,Ethical_Rating
Shein,Indonesia,2017,574.51,19.31,16,11421.58,282.11,616.63,143.79,50,3,39.1,105.92,3,4655,3435,0.05,Neutral,608.51,0.49,29.12,61.19,13.95,1.46
Forever 21,Vietnam,2024,394.5,9.3,20,5571.01,289.22,795.11,167.78,44,1,11.95,101.99,4,9655,6285,-0.12,Positive,689.49,0.21,49.52,3.44,90.93,1.29
Uniqlo,India,2024,310.23,25.46,11,10969.0,116.39,364.33,97.81,43,2,15.88,116.53,18,8016,387,0.08,Neutral,439.78,0.63,96.53,60.7,27.6,1.48
Forever 21,USA,2017,218.65,13.17,13,13093.0,255.88,632.16,134.54,46,2,21.12,156.37,14,8254,1620,-0.06,Neutral,746.7,0.21,71.32,76.08,56.13,3.85
Zara,Indonesia,2016,1005.84,15.4,20,9548.4,142.07,830.1,144.33,56,0,25.26,113.41,15,1778,3292,-0.59,Neutral,571.42,0.95,59.89,69.48,88.05,3.12
H&M,Indonesia,2017,408.45,18.42,17,14115.59,210.53,738.14,183.66,40,0,29.43,93.89,11,4513,3798,0.38,Neutral,398.67,0.34,24.41,16.83,21.88,2.79
Uniqlo,Indonesia,2018,400.59,19.27,25,12453.62,136.72,648.33,172.87,63,0,28.29,100.22,7,5955,7442,0.27,Positive,500.79,0.71,53.09,44.78,55.29,2.96
H&M,Turkey,2021,467.85,16.55,22,7594.52,283.04,1081.04,219.62,50,2,25.25,143.69,6,6646,1419,0.02,Positive,586.3,0.3,64.52,17.44,69.09,1.93
H&M,Vietnam,2023,382.51,18.39,28,15616.96,223.78,674.88,123.88,55,1,17.26,127.8,11,7500,3220,0.4,Negative,656.36,0.86,85.63,40.45,88.78,4.25
Forever 21,Vietnam,2016,628.1,28.94,21,10879.22,157.14,1173.15,173.69,55,1,10.54,80.1,10,1318,4546,-0.38,Positive,494.94,0.59,50.88,63.63,25.05,2.95
Zara,Brazil,2022,498.28,22.07,13,13628.15,232.28,1346.88,154.69,40,0,31.67,87.87,16,3544,2615,-0.26,Negative,596.49,0.11,92.83,42.82,96.67,4.82
Shein,Bangladesh,2016,432.13,23.89,26,8171.88,151.19,336.39,136.6,49,3,28.45,151.72,19,8196,7610,0.4,Neutral,510.27,0.42,29.36,80.94,81.01,4.34
Forever 21,Turkey,2016,503.59,24.36,9,11712.67,268.13,990.8,182.57,51,1,27.37,176.69,19,4877,4983,-0.39,Neutral,364.84,0.58,32.67,82.79,27.15,4.83
H&M,China,2017,681.56,19.24,25,14991.31,155.65,778.56,125.69,58,1,10.76,96.85,3,7905,5287,0.43,Neutral,832.26,0.69,27.99,95.49,73.79,2.77
Forever 21,Brazil,2015,300.98,29.22,17,6449.28,213.74,732.12,109.24,67,0,11.22,133.31,14,6717,2529,0.61,Negative,654.93,0.41,46.47,64.98,4.81,4.75
Shein,Bangladesh,2016,451.34,22.62,15,10175.53,340.88,881.0,195.49,43,4,34.03,142.47,3,4100,5102,0.09,Negative,861.79,0.95,38.61,96.12,90.54,0.98
Forever 21,Germany,2022,427.04,21.04,13,14664.77,141.13,552.35,108.77,46,0,30.9,146.99,6,828,3398,0.94,Neutral,561.46,0.59,42.35,56.85,57.59,3.66
Forever 21,UK,2020,444.84,17.26,29,10541.48,264.26,952.9,94.44,62,1,37.08,159.16,15,798,7236,-0.22,Negative,504.2,0.11,90.54,9.13,31.93,4.75
Forever 21,Vietnam,2023,514.55,22.98,20,13370.63,328.59,731.48,162.47,60,1,26.49,149.25,13,8110,6851,0.94,Neutral,470.59,0.72,83.7,86.69,83.85,2.13
Forever 21,USA,2021,424.18,13.22,7,13463.06,171.36,667.15,218.01,58,2,37.19,119.43,15,4949,1293,0.14,Negative,299.49,0.77,76.72,82.28,74.42,3.41
Zara,India,2017,419.04,12.9,22,10172.24,149.35,1071.76,135.68,52,1,36.73,126.72,7,9542,5828,0.94,Negative,502.52,0.57,62.94,69.57,45.45,3.14
Shein,Indonesia,2020,630.85,20.92,16,9667.2,258.58,509.43,189.2,67,1,16.88,96.05,6,3875,6092,0.4,Positive,232.43,0.58,30.95,81.38,68.47,0.81
Shein,UK,2016,301.97,29.16,29,10426.15,262.23,738.05,91.51,61,2,27.82,130.23,19,4100,1683,-0.93,Positive,482.72,0.22,1.37,7.54,69.17,2.67
Zara,Bangladesh,2021,547.93,20.97,28,8649.8,237.37,586.48,142.88,58,0,16.22,130.08,4,3519,6288,-0.77,Negative,598.88,0.7,52.03,77.23,52.02,4.26
Shein,USA,2020,809.11,28.78,22,11936.13,282.12,607.02,184.3,45,3,26.64,127.54,8,7748,7177,0.82,Neutral,409.24,0.37,52.36,69.76,79.65,2.3
Forever 21,Vietnam,2017,569.11,22.93,25,11152.2,198.04,386.51,145.54,50,1,26.12,190.26,13,6131,7737,-0.64,Neutral,279.63,0.73,41.17,87.43,51.52,4.87
Shein,India,2022,295.15,22.52,26,8409.23,152.43,778.59,98.24,65,1,19.9,101.24,17,5340,2311,-0.84,Positive,445.28,0.89,92.09,6.11,27.69,4.03
Uniqlo,Vietnam,2021,389.54,22.9,20,12399.07,204.14,953.75,110.98,53,1,11.1,145.54,17,1018,2847,0.5,Positive,302.41,0.13,86.72,35.41,39.72,0.52
Forever 21,Indonesia,2016,384.34,22.88,12,6816.21,160.74,645.36,132.46,56,0,24.22,160.29,17,6471,4256,0.47,Positive,238.47,0.6,58.65,56.45,37.88,1.69
H&M,Brazil,2016,533.9,24.2,29,3762.62,198.71,676.58,87.06,55,0,15.6,95.14,11,8534,2640,-0.18,Negative,390.97,0.98,11.2,39.79,96.95,4.33
Shein,China,2017,413.48,23.78,29,12447.55,234.01,857.2,239.16,65,0,33.08,103.06,3,4308,6333,-0.77,Positive,299.59,0.65,28.86,58.12,15.44,2.41
Forever 21,UK,2015,402.22,20.24,23,16201.13,83.3,519.96,161.48,47,1,30.45,135.89,8,3590,3727,-0.79,Neutral,788.31,0.87,74.6,40.85,93.29,4.95
Shein,Indonesia,2022,423.74,13.79,6,11464.13,294.81,776.03,155.69,48,3,17.07,142.27,15,1165,2186,0.37,Negative,548.69,0.51,71.38,89.97,62.41,2.7
Uniqlo,Vietnam,2015,799.71,12.1,22,9282.46,249.39,978.48,154.78,58,1,19.98,147.49,17,5842,5838,-0.01,Neutral,718.07,0.77,57.32,99.77,75.24,3.53
Zara,India,2016,425.47,21.94,9,14529.31,224.12,730.49,191.46,45,1,23.71,121.65,10,2471,2941,0.54,Positive,1001.14,0.11,59.84,56.55,71.62,3.0
Shein,Bangladesh,2018,323.33,16.6,28,11963.1,196.66,855.99,93.73,69,0,17.68,139.3,14,4551,7201,0.39,Neutral,812.94,0.93,70.72,15.25,57.63,3.03
H&M,China,2020,738.98,17.44,13,9012.18,171.78,719.51,128.54,62,3,21.97,115.26,11,8070,624,-0.17,Negative,414.62,0.88,92.3,46.57,48.08,4.59
H&M,China,2024,433.48,20.41,24,11415.06,108.21,1007.77,115.09,50,1,29.91,111.93,10,6804,4472,0.19,Neutral,278.69,0.16,75.0,20.99,89.81,1.03
Zara,Bangladesh,2022,885.49,14.46,23,13119.98,139.96,1285.97,247.49,56,1,14.66,128.7,9,4973,1531,0.79,Negative,449.04,0.57,80.07,97.89,83.98,4.33
Shein,UK,2023,683.33,9.13,8,12165.02,132.26,695.1,174.47,40,2,39.66,157.49,18,4647,5669,0.34,Positive,584.06,0.28,29.31,89.63,1.3,0.43
Uniqlo,Brazil,2023,548.92,13.74,23,6275.5,151.02,1063.15,62.34,51,1,33.22,148.49,5,5719,3627,0.53,Neutral,427.8,0.23,86.85,48.74,89.46,4.0
Zara,Germany,2019,445.46,19.72,19,12609.22,263.43,528.33,126.53,61,3,18.17,125.88,8,7284,5846,0.3,Positive,304.33,0.85,20.64,1.1,13.69,4.5
Zara,USA,2017,538.4,24.91,17,9703.41,337.88,1037.24,162.86,60,1,11.41,135.53,6,5590,4939,-0.86,Neutral,354.85,0.85,43.72,91.55,72.15,3.05
Shein,USA,2015,480.85,22.78,29,10285.96,210.74,921.51,74.04,50,2,28.7,56.42,10,5236,5810,-0.01,Neutral,429.83,0.72,43.48,24.64,81.91,4.0
Forever 21,Bangladesh,2023,336.83,24.65,7,9076.64,160.47,932.75,200.51,56,0,26.26,131.41,19,1850,5654,0.38,Neutral,622.12,0.86,24.97,48.94,22.12,4.94
Shein,India,2020,564.44,21.04,28,6247.01,356.36,653.41,131.93,46,0,37.73,153.87,9,3142,4547,0.04,Negative,483.92,0.68,65.02,36.47,56.07,2.41
Forever 21,USA,2017,511.95,25.07,28,14332.52,85.73,835.08,219.43,61,0,28.78,128.01,4,8602,788,0.74,Negative,677.93,0.12,87.47,52.89,93.91,3.99
